Column1;Column2;Column3
Ahmad Yani;2 years ago;Amazing and educational tourism, perfect for taking the family on holiday here, and there are also lots of special games for children...
Muhamad Yusuf;a year ago;The location is wide, the animals are many and varied from various countries, the games are free, everything is great, the tourism here is great
Norton “Norton” Sunarto;4 months ago;Hopefully there will be more animals... as well as directional officers.
Utia Klara Marindah;2 years ago;Tourist and family recreation area. Everything is well organized and the animals are well looked after. There are playgrounds for children. Very fun 😊 …
Lita Cempaka;a year ago;There was no choice of tickets, I was forced to buy them all, even though there was not enough time and my legs would be pounding. Now weekdays (Monday-Thursday) 140 thousand for the complete package, you can't choose. You know, it's better …
Annisa Rofita;4 years ago;East Java Park 2 very interesting tourist attractions worth visiting. Especially if you invite your family, especially those who have small children with high curiosity, this is the most suitable place, guys. Apart from lots of rides to …
Rachmad Tsalaatsa;5 years ago;One of the family tourist attractions that must be visited if you are in Batu City, there are lots of playgrounds in it and almost all the animals in the world are found in Jawa Tamur Park 2. The place is very wide, so prepare your energy to walk around all the places in East Java Park 2.
Prahari Balkis;2 years ago;"A very suitable place for children... Because there are lots of animals and the place is very well organized and clean...
There are lots of photo spots... …"
Mas Bon;6 years ago;It is recommended to enter the area as early as possible / not too late in the day, because the coverage area is very wide, if you want to enjoy / pass all the rides/tourist spots it can reach approximately 14 hectares. It is feared that if …
Misbahul Munir;a year ago;JTP2 offers many rides for children and adults, learning experiences with a mini zoo with many types of animals, and there is also an Animal Museum, the facilities are quite adequate. …
Jayadi Paijo Bedjo;2 months ago;Lots of recreational rides tha maz'ehh, straight away maz'ehh,,, 👉👍🤙😉 …
Falihur Rohman;3 years ago;Visiting again during the New Normal period, JTP 2 implemented various disinfection methods, including many hand washing & hand sanitizer spots, sanitation gates that are safe for humans, a task force team that routinely cleans areas …
Zakia Endah;4 years ago;Visited 20 June 2019, ticket price has increased to 120,000 per person for the secret zoo & animal museum package. It's very fun for a family outing. Can learn to recognize animals & play ground freely.
Yerri Aditya;6 years ago;Jatim Park 2 is one of the rides in Batu which is managed by Jatim Park apart from Jatim Park 1 and 3, in Jatim Park 2, the tour is more about fauna, entering this area from the car park, it already looks magnificent with a large and …
blabla;4 years ago;"Starting from 10 October '19, opening hours have been increased to 8.30.
There is no food inspection, you can bring snacks and drinks as long as you throw them away in the right place and keep them clean. It's not allowed for heavy …"
Munasyaroh Fadhilah;a year ago;The place is very large, there won't be enough time in the day to enjoy it all. In the end only 50% can be explored. Next comes again
Puspa Indah;5 years ago;If you come here, it's delicious from morning when it opens until evening. Buy a full ticket or buy a ticket for two rides and you will be very satisfied. Two rides 120k and a full 150k. Play all day without getting bored. Many places to play already include tickets. There is a swimming place too. See how many animals there are.
Citra Permata;5 years ago;The children's recreation and education park is very satisfying. There are advance tickets to enter the animal museum and Batu Secret Zoo.. In the animal museum there are many replicas of water, land and air animals with neat and good …
Sweet Midori;5 years ago;The place is neat, clean and there are several rare animals here. There are rides for children, there is a haunted house and there is also a swimming pool. Anyway, it's really cool.. From Jakarta, you won't regret going on holiday here. …
Little Ibrahim;3 months ago;Those above 85cm have to pay, but only children above 100cm are allowed to ride, even if they are accompanied by parents, it's still not allowed, ridiculous rules that are detrimental to children 86-99cm tall.
Sniper Gamma;11 months ago;It's really beautiful, busy, fun, suitable for holidays, it's really happy here
batu karang;5 years ago;An interesting place for holidays for all ages, the appearance is different from zoos in general, savings to visit, suitable for educating today's children. The animal museum is equipped with a QR code, if you want to see the animals in the museum come alive. The way to do this is by installing the animal museum application.
Angga Eka Putera;3 months ago;Very suitable for a family holiday with small children and the ticket price is very affordable, if possible, staying overnight at the hotel is very comfortable
Lidya Randa;5 years ago;"A fun and educational tourist spot. The animal collection is complete, there are from 5 continents so it feels like you've traveled around the world hehee... there's the Secret Zoo, Safari, Animal Museum. Complete facilities; clean toilets, …"
